,epoch,train_loss,val_loss
0,1,2792.377326488495,128.01167249679565
1,2,2317.760867834091,118.27761650085449
2,3,2163.0096752643585,113.21330857276917
3,4,2062.476583480835,110.22545576095581
4,5,1985.371778011322,108.00292158126831
5,6,1921.5359365940094,106.67413282394409
6,7,1864.6631376743317,105.54900097846985
7,8,1813.608470916748,104.77737092971802
8,9,1766.3616213798523,104.21445536613464
9,10,1722.874722957611,103.78508925437927
10,11,1681.6499288082123,103.94426488876343
